Tlei_v1.17230-RA	OG0012072	Description=WD repeat-containing protein RUP2	Aco010278	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_WD_repeat-containing_protein_RUP2
Tlei_v1.01480-RA	OG0006207	Description=Zinc finger AN1 domain-containing stress-associated protein 12	Aco000985	Diff_expressed_CAMC3
Tlei_v1.28680-RA	OG0009606	Description=Chloroplastic lipocalin	Aco008453	malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.16158-RA	OG0015868	Description=Beta-fructofuranosidase, insoluble isoenzyme 3	Aco023030	pos_selection_CAM_shifts, circadian_metabolism_Wai2017, 00_#W_VacuolarAcidInvertase_AI
Tlei_v1.12593-RA	OG0010920	Description=synaptotagmin-3-like isoform X1	Aco008957	Diff_expressed_CAMC3
Tlei_v1.28581-RA	OG0015738	Description=glucose-6-phosphate/phosphate translocator 2, chloroplastic-like	Aco014864	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27667-RA	OG0015316	Description=NDR1/HIN1-like protein 6	Aco023654	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.28686-RA	OG0009604	Description=1-acyl-sn-glycerol-3-phosphate acyltransferase-like isoform X1	Aco008446	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27035-RA	OG0013297	Description=Aluminum-activated malate transporter 12	Aco012924	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27046-RA	OG0013294	Description=Pyruvate kinase isozyme G, chloroplastic	Aco012915	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19296-RA	OG0005786	Description=NADPH-dependent aldehyde reductase-like protein, chloroplastic	Aco000232	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05651-RA	OG0007636	Description=probable prolyl 4-hydroxylase 9	Aco003826	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.24555-RA	OG0014129	Description=abscisic acid receptor PYL4-like	Aco018101	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.18891-RA	OG0017830	Description=BOI-related E3 ubiquitin-protein ligase 1 isoform X1	Aco030202	Diff_expressed_CAMC3
Tlei_v1.12301-RA	OG0015151	Description=ACT domain-containing protein ACR10	Aco019600	Diff_expressed_CAMC3
Tlei_v1.19577-RA	OG0003259	Description=thioredoxin Y, chloroplastic	Aco003192	gene_families_CAMC3
Tlei_v1.10977-RA	OG0013042	Description=transcription factor PIF3-like isoform X1	Aco013643	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_TF_PIF3
Tlei_v1.15823-RA	OG0010373	Description=AAA-ATPase At2g46620-like	Aco007548	Diff_expressed_CAMC3
Tlei_v1.21654-RA	OG0007933	Description=Abscisic acid receptor PYL8	Aco004375	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.03791-RA	OG0013622	Description=photosynthetic NDH subunit of lumenal location 3, chloroplastic-like	Aco013974	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.03790-RA	OG0013627	Description=uncharacterized protein LOC109707012 isoform X1	Aco013975	Diff_expressed_CAMC3
Tlei_v1.21648-RA	OG0007931	Description=plastidial pyruvate kinase 4, chloroplastic	Aco004370	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25679-RB	OG0002124	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco006199	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.29554-RA	OG0014443	Description=Two-pore potassium channel 5	Aco017183	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.21758-RA	OG0008002	Description=protein DMP6-like	Aco004471	Diff_expressed_CAMC3
